name,n_hashes
SRR4425674,3550242
SRR26473344,4543138
SRR32214395,1653621
SRR16329164,15277449
SRR13893509,2806302
SRR26888831,1452694
ERR5863121,4983811
SRR1721523,1531315
SRR3053146,1235811
SRR28024264,2122214
SRR25933610,1351528
ERR1726951,13323174
SRR28059891,1983012
SRR10585539,1963220
SRR26668036,2662408
SRR28061546,3132231
ERR6275663,1440797
SRR26661790,2347847
SRR4308225,1219889
SRR31070036,6506189
SRR30909876,4002497
SRR5409221,1021024
SRR8797414,1691408
SRR20002371,1299377
ERR519456,3019325
SRR32559463,1248518
SRR8859383,1344551
SRR7151567,14756399
ERR10798508,1295199
ERR13664613,1023655
ERR206240,1313861
SRR32616797,2008767
SRR25176026,2142020
SRR13608707,11607031
SRR5803930,1973388
SRR15172458,4462068
SRR29758312,1979276
SRR22389187,1069830
ERR9613383,1034953
SRR28778183,1272936
ERR6050763,1182846
SRR20950900,2355742
ERR12366817,1275685
SRR15172825,3254706
SRR18233572,2427410
SRR12917030,2077157
SRR28023138,3942232
SRR15172457,9224118
ERR1726786,12356189
ERR3957893,1816273
SRR14800646,1475787
ERR6769792,2447988
SRR5395422,2508937
SRR28537353,2310695
SRR15667147,1996478
SRR28454828,1085049
SRR19708239,6249477
SRR12042340,1446441
SRR18398397,1076901
SRR33524904,1290586
ERR14217022,2191173
SRR32428641,2478530
SRR26114493,3179416
SRR27048303,1399014
SRR4465026,4474044
ERR3458878,1004880
ERR12509479,1465400
SRR28250509,1885648
SRR12529118,6280849
SRR28285626,17001085
ERR13763352,1512990
ERR9127552,1224553
SRR5109957,1762609
ERR2245493,1203118
SRR24605838,5295530
SRR27117395,1366735
SRR13122811,2148583
ERR14653888,2299840
SRR28061796,2245093
SRR23217751,4066190
ERR977418,1749232
SRR31011541,3402675
SRR11482335,4628026
SRR17182827,3049777
SRR22590158,1914491
ERR2193917,1360162
SRR22439093,1078219
SRR12103082,1222598
SRR5371429,11485168
SRR23871856,5901735
SRR26115056,3798392
ERR12869854,1024325
SRR31048429,3034302
ERR6760084,1357982
SRR28022795,4984443
SRR7151643,7765346
SRR28154149,3879077
SRR15803465,1466563
SRR27128303,3626644
ERR14893760,1743322
ERR9606691,2537023
ERR2241775,3118562
SRR32214370,1510779
SRR8205299,3831935
ERR11553391,6174154
SRR17055917,1030120
SRR23593161,3576832
ERR1726523,14757770
SRR30913411,2045704
SRR28003388,3445121
SRR28023378,1765935
SRR9707928,1067128
SRR12773038,2161410
SRR28998462,2325477
ERR14173499,1218203
SRR12113407,15641426
SRR16092984,11001893
ERR15342751,1644410
SRR12150530,2747710
ERR2001739,2261450
SRR17418336,5462230
ERR11029058,1058605
SRR7026264,6472668
SRR33167559,5022527
SRR28059986,1787477
SRR23924736,12472996
SRR24100339,2791803
ERR2373076,1223734
ERR12723877,5064622
SRR31323319,11445594
DRR659523,2486293
ERR1726593,12966903
SRR6060208,1826826
ERR346684,2021472
SRR7784168,1322562
SRR28002950,1282474
SRR17598612,3081662
SRR12298917,1008008
SRR32972735,1973565
SRR32572143,5716118
ERR12350733,1165895
SRR26620767,3437584
SRR13347683,1065332
SRR28123725,2672200
SRR25844772,1197138
SRR10765520,2071648
ERR4421609,1005009
ERR4370512,1303008
SRR16352839,4390036
SRR32247426,2728703
ERR14057931,1211757
ERR346661,1908186
ERR550402,2737694
SRR15803462,1308408
SRR5919130,2611713
SRR9178510,1137813
ERR3573441,2613073
SRR27451095,1329144
ERR12304284,1664997
SRR943335,1629520
SRR22316780,5158912
ERR10123001,1005390
SRR28778202,2471189
ERR13920124,1912601
SRR24008545,1365863
SRR24239787,3990573
SRR14552456,4147780
SRR25000013,3073362
ERR4691863,12972999
SRR27027810,1594688
SRR24860753,1069354
SRR4027044,4438837
ERR7438517,1165375
SRR14803094,5328534
ERR3858138,5872346
SRR13312996,7945402
SRR7907956,2029810
SRR12908329,8667114
SRR26065834,2992774
SRR16351693,1512688
ERR13737180,1455611
ERR14693535,1140952
SRR21069106,3460538
ERR14173727,2878117
SRR1631203,1909499
SRR17459131,3364690
ERR4157945,3753138
SRR32814820,2126363
ERR7599949,1189466
SRR5877077,2274094
SRR15172315,2308495
SRR33578154,1012057
SRR24151134,3073961
SRR5262252,14393915
SRR28041521,3109099
SRR5160942,2038616
ERR10689110,1116143
ERR958742,1052414
SRR10585536,1734687
ERR12719243,1022688
SRR28041953,2430439
SRR14932607,3693013
SRR10319738,1236914
ERR3573833,1032232
SRR24826743,3854011
ERR10114910,2694163
SRR19400213,7526130
SRR6873759,1157978
ERR10900317,1412062
SRR11516665,1971308
ERR12389194,2275068
SRR24963449,3139623
SRR21846292,1621969
SRR6429792,3703128
SRR7014901,1635905
SRR28012079,2445267
SRR30649439,1992730
SRR33095231,1440014
SRR21758754,3673355
ERR13731088,1884329
SRR10522293,2980896
SRR29157767,2151038
SRR17234886,1075738
SRR20309468,4273792
SRR27162025,1093458
SRR6145098,1686350
SRR10445546,2201887
SRR32280790,3050247
ERR2799769,1431666
SRR13160910,1545157
SRR27544739,6726383
SRR12738812,3879398
SRR11577220,3377580
SRR31214406,4539509
SRR12827751,1120629
SRR29748429,5433177
SRR16525816,1289154
SRR7153026,1701007
SRR16351694,1634246
SRR12360561,1971005
SRR9030504,11986912
ERR3521911,1510255
SRR21210793,1069011
SRR14517555,4586150
SRR26809042,1849984
SRR8543995,6971462
ERR4303218,1880336
ERR10663679,1304573
SRR24579367,16231744
SRR14474041,1677277
ERR10163654,1048567
ERR3562967,1563913
SRR9276316,1072563
SRR13487025,5533001
SRR1569462,1162234
ERR11512823,1811856
SRR32847911,3826503
ERR14662142,4206288
SRR22261832,2643714
SRR14139157,2679121
SRR29182491,4468887
ERR5866876,3577976
ERR13744157,1902379
SRR8887161,1026005
ERR9658009,1925141
SRR25306241,2672613
ERR1527271,1112747
SRR28408205,2388164
SRR17470364,1525385
ERR3569097,4298206
SRR22573050,2148977
SRR27977649,4061970
ERR4678583,1553587
ERR2241982,1318169
SRR5169296,1657728
ERR2597510,5934093
SRR26402680,1240943
SRR9045858,5029743
ERR12074394,1294570
SRR11526760,11374403
SRR32470248,1359477
SRR27942876,2830021
ERR14057724,2176080
ERR5750984,2961310
ERR1356754,2100882
SRR28291264,5435695
SRR27027417,1048800
SRR7006397,5157952
SRR29183904,1070446
SRR21695968,2645421
SRR28483307,3691978
ERR3662317,10897871
ERR6163180,1167326
SRR34772448,3373369
SRR6202052,3730137
SRR23797485,7192069
SRR4027597,2887554
SRR12696335,1337600
SRR12059671,2195153
SRR34918160,1003617
SRR11362537,2196401
SRR31168890,2468898
SRR11413687,1339218
SRR14306889,1176541
SRR22455137,9535904
SRR5152962,1370260
SRR17256052,6124543
SRR5572050,2071417
SRR9178517,1669342
SRR18038134,1028219
SRR25247780,1002944
SRR34976581,3050413
SRR4030051,2360133
SRR8881013,1184142
SRR25000069,1128925
ERR6397226,1460269
SRR13415955,1011701
SRR26112845,1183375
SRR5873457,1011057
SRR1931205,2193532
SRR25035011,1384903
SRR5216644,1775921
ERR10472437,4249845
SRR5919145,1630427
SRR28011578,2329454
SRR30324953,2750863
SRR30888636,1112030
SRR14842324,1633876
SRR31166366,1647379
SRR31012035,1566732
SRR17182833,2658473
ERR9924656,3319606
ERR12737047,1471659
ERR10921476,2420989
SRR14874693,1522073
SRR13282551,1497455
SRR28061706,2437861
ERR3943981,2435197
ERR15402129,5210312
SRR15679411,37404393
SRR13443348,2320418
SRR31805823,6471312
SRR403467,1346464
SRR27132466,1076531
SRR28041929,2719040
ERR299249,4105378
ERR11733627,4699792
SRR25547076,3089804
SRR5753877,1057697
SRR5395385,2347476
SRR363773,1273042
SRR34938332,2051411
SRR27027487,1174718
SRR14598696,1467661
SRR27943392,2264638
SRR5438309,10374860
ERR1135366,2028045
SRR15377962,16206258
ERR13801268,1292228
SRR8861568,1762995
SRR27986719,2144881
ERR10921758,1908378
ERR7927774,3027770
SRR23215324,3046647
SRR27973129,1937668
ERR2167947,1563401
SRR24928203,2621467
SRR10359448,1492302
ERR4863017,1580457
SRR29051666,1095017
SRR14295927,1277364
SRR10132649,3012236
SRR32281887,2650009
ERR11566325,1238305
SRR17267097,6011055
SRR25204553,1106714
ERR7764738,1640074
SRR25050857,1220210
SRR28037972,5332897
SRR34403099,1029923
SRR7533085,2312640
SRR30594010,2180068
SRR7866770,1520934
SRR24956184,3294339
ERR10048402,17845317
ERR12641570,1663245
SRR14845084,2476786
ERR12540960,1426596
SRR19411436,1513689
SRR27959559,2559266
SRR14560403,3623704
ERR11041263,2088092
SRR31212509,1633134
SRR25083375,5959709
SRR26459585,3628466
ERR3211924,1525604
SRR9108839,2432159
SRR23350602,1028116
SRR7013852,6261947
SRR7186489,7386495
SRR29928723,2678910
SRR11744915,5817674
SRR5924941,3785360
ERR14979703,1782596
ERR4352724,3576528
ERR10854443,4026814
ERR4335134,1000497
SRR12316761,2192669
SRR7004339,11821256
SRR12131175,6129578
SRR31312042,2173776
SRR28624388,8282629
SRR16304100,5627288
SRR6760754,1083509
ERR13948519,6272855
SRR13150746,1236186
SRR28062897,1492604
SRR11845624,3437210
SRR12480170,1269794
ERR6466099,1320942
ERR13737509,1315470
SRR31303466,1718697
SRR30913416,2022887
SRR32876733,1666084
SRR22215610,3272901
ERR12814418,2679319
SRR18972797,2227506
SRR24956321,3394667
SRR29934095,1183982
SRR30757733,14745654
ERR2019398,7315862
SRR23892653,1612605
SRR15171751,2558480
SRR5788256,3087834
SRR22811438,1602774
ERR321553,1539434
SRR3471615,4983734
SRR9222611,12528523
SRR13588867,11676631
SRR8549372,1737005
SRR11580890,2687780
SRR14569895,2125146
SRR11569229,4660402
ERR2167853,1231592
SRR13122816,4555503
SRR31159437,3084539
SRR13444014,2248197
SRR28144567,3705069
ERR10921626,2122038
SRR25400036,1001876
SRR33045635,1260507
SRR33526913,1254242
SRR26720961,2583105
SRR16248208,2952805
SRR15171539,4768206
SRR6516628,1470359
SRR11267061,1022511
SRR27258041,1184168
SRR33155384,10296414
ERR14120532,2635199
SRR13434605,1659091
ERR4194904,4952166
ERR14893997,1918283
SRR14792310,2404540
SRR18463823,1987517
SRR14520715,2915038
SRR13122169,1029288
SRR30309616,1559658
SRR16016028,6467868
ERR8138500,1011640
SRR6476833,1958276
SRR23823292,4417077
ERR2167535,1782456
SRR8553622,10394118
SRR26046967,5133132
SRR5256983,4821074
SRR17299243,1005027
SRR29517018,6232854
ERR5385091,1784108
SRR26903949,1086829
SRR16472914,7686026
ERR13701571,1640736
SRR6703156,1941197
ERR14120475,1343181
SRR7962867,6120941
SRR28041554,1877601
SRR6747711,2221037
SRR13401395,1120934
ERR2134193,1490137
ERR12540948,1460916
SRR32953865,3632165
SRR28022942,2694568
ERR10124216,2415613
SRR14556202,3793788
DRR198489,1207906
ERR4998630,11106558
ERR1395505,1889863
SRR32856605,4231998
SRR5675762,1379388
SRR5720327,2109500
SRR30597331,2404432
ERR6472373,1115590
SRR17642953,7611278
SRR28869350,2377039
SRR28061934,3099703
SRR25571677,1093140
ERR4096397,1416577
SRR26620768,3021052
SRR33038097,3344864
SRR34802018,1167215
ERR10420065,3238503
SRR28814851,7660367
SRR28386265,1718823
SRR16555200,2433842
SRR28019978,1953002
SRR23886509,2564605
ERR10921296,4562622
SRR7119509,1243840
SRR26668043,4506655
SRR5024282,1025497
SRR12009704,1763903
ERR4796150,1023557
SRR25727943,11501603
SRR25046929,1207259
SRR24548570,30888074
SRR24791503,4242913
SRR29530268,5358883
SRR21210645,1048934
SRR15167835,26512951
SRR13827834,3164352
SRR28041926,3666251
SRR27012973,1462614
SRR12479727,1560155
SRR7986304,1146396
SRR21847352,2142755
SRR17001030,1279847
SRR3710056,1441559
SRR8554091,6063167
SRR27943594,2567271
SRR26413789,9855442
SRR28716324,2616717
ERR2729811,1401503
SRR19221423,2526085
SRR23967288,7201417
SRR34290622,1165949
SRR18156187,2824948
SRR830622,5938264
SRR14039950,1282190
SRR30616109,4732117
SRR34772432,4092615
ERR910536,1122284
ERR15094108,1277395
SRR10028504,3207222
SRR28925576,2352697
SRR32882046,1146506
SRR13502479,1478721
SRR28023711,1976200
SRR25936287,2048619
SRR22388277,4079813
ERR2299806,3373976
SRR5130560,2733828
SRR16020995,1061701
ERR9991310,1043389
SRR17319353,2204136
SRR20172397,2630702
SRR29270555,2145511
SRR9668343,1555251
SRR22213143,3048499
ERR9929410,2218718
SRR15283112,1313268
ERR11027275,1107562
ERR12734967,2101707
DRR063509,1443553
ERR10032842,4760221
SRR26190072,1008931
SRR27973599,3001506
SRR23434916,2044634
SRR28062014,2348761
SRR14723493,3392758
SRR21824770,1103186
SRR15172997,5594390
SRR19631144,1704976
SRR29686443,1279169
SRR10522347,2094871
SRR29644581,2886324
ERR12540810,1285145
SRR14116348,6102388
SRR18683148,3316159
SRR20029204,2463115
SRR28402836,4669201
ERR2848573,2677147
SRR16767952,4592842
SRR32619166,1461790
SRR26663137,9163819
SRR29337641,7325382
ERR10101439,3406141
SRR5866644,1004202
SRR7031257,1603944
SRR15194115,1132911
SRR8898680,1228601
ERR12641413,1074133
SRR26784276,1205444
SRR20139542,1091046
SRR5903370,7951070
SRR19683890,4181184
SRR29081480,1993064
SRR32687612,1076572
SRR33443025,3782881
SRR25742226,3149369
SRR22050061,2192043
SRR10375808,2505204
SRR19629428,3208909
ERR3598120,7394525
DRR670797,1346758
SRR27426532,5497357
SRR14851302,2607900
SRR28061858,2813169
ERR1353141,1822132
ERR1430459,1648138
SRR28042233,1787374
SRR9108878,6372873
ERR10921755,4743134
ERR3440433,1082604
SRR6982937,1055646
ERR8084621,4013348
SRR28335222,1022549
SRR29157637,2481284
ERR14365030,1282143
SRR28002441,4492513
SRR28023220,2388041
SRR10388218,1335789
SRR26165519,1219618
SRR33545609,1772542
SRR27973585,2145496
SRR14556664,1952755
SRR26384642,4029221
SRR10038816,1188291
ERR15157007,2891756
SRR26929915,3301459
SRR19906205,2775054
SRR22586188,2270293
SRR14307495,8441645
SRR10209686,1460946
SRR27943246,1373635
SRR17088887,3830309
SRR11582139,2185993
ERR7015356,2011024
ERR3503314,4318861
ERR14949411,1539224
SRR5916425,3871624
SRR33144897,2221733
SRR17933180,6913484
ERR6576422,2057520
SRR34955599,2178178
SRR14308736,1859238
SRR31301689,3604183
SRR8536909,3764568
SRR23826147,4570968
SRR23937431,1392527
DRR226091,1330177
SRR16308652,2063744
ERR12161544,2547115
SRR21615090,1086076
SRR14024161,3061556
SRR31305198,3096441
ERR4194711,2395968
SRR863225,1821494
SRR17241675,3004411
SRR25392968,6500046
SRR27943249,1494870
ERR11029717,1464849
SRR26700327,5155152
SRR11679702,1174624
ERR3668644,5081837
ERR3470050,1116272
ERR15114080,1592193
SRR21969588,1039435
SRR29157802,4566624
ERR11565113,1059517
SRR30059063,3069563
ERR2848509,2862706
SRR7094501,1511792
ERR2709752,1438238
SRR25078851,7094277
SRR13434644,1269514
ERR3687835,1216237
SRR8845376,1407212
SRR13765539,5606607
SRR18243988,3221753
ERR12370680,1130829
SRR22803259,3163180
SRR26663110,8653560
SRR28154229,2186308
SRR5937968,1142412
ERR3211467,4274687
SRR19330189,12483454
SRR28011945,1486616
ERR599262,11476893
SRR21511350,1242186
SRR18517291,4515382
SRR9178453,1850110
SRR20608310,1659444
SRR10953935,6391185
SRR11803987,1129833
ERR2001415,1100888
SRR21202797,1019257
SRR28408320,2095999
SRR29063592,7871904
SRR7006671,7580390
SRR12283628,3181695
SRR8960683,1003650
ERR4221523,4782167
SRR8537876,6077560
SRR19135264,3996994
SRR12711580,2795448
SRR18122610,1113085
SRR28062595,1544033
SRR22033955,3021698
SRR13517653,2693768
DRR086839,1360933
ERR4586338,1085294
SRR12137138,2185380
SRR2820667,1403800
SRR22474923,1007594
ERR4297090,4472119
SRR27942764,2020512
SRR28291269,5320654
ERR7738560,4050392
SRR23883313,1152284
ERR2167774,1505555
SRR24742808,1553405
SRR4272619,1202407
ERR4193243,1955010
SRR32826498,5378348
SRR14307630,1515870
SRR11172558,10412768
ERR6282383,2347576
SRR19591521,1809227
ERR6186186,1626840
ERR9924767,3241906
SRR28511873,2070035
SRR14413855,2168390
SRR30757760,15745370
SRR26459372,8515738
SRR21820899,1239705
SRR17578899,1532585
SRR8960409,1093670
SRR28041481,2387827
SRR18885321,1959890
SRR25662903,2825830
SRR28520535,4855150
SRR28455323,1151860
SRR21677133,1173686
ERR899282,1229231
SRR7026569,4943180
SRR17182794,1659490
ERR14057800,1780756
SRR15167842,9925911
SRR24035575,3467650
SRR17459209,4293854
SRR9006587,2181840
ERR4808802,1257273
SRR27107044,1142464
ERR1726620,10007388
SRR31070092,5315345
SRR17284924,1543091
ERR6349563,1353842
SRR23886451,2938058
SRR10051532,3568868
SRR30140742,1797016
SRR15245358,2638902
SRR15129658,1118634
SRR31156246,2180946
SRR24746586,1765831
ERR1036228,1055052
SRR28023731,2651778
ERR2373132,1242390
ERR13111409,1744134
ERR4370529,1071010
ERR3771467,4209018
SRR29087859,3089225
SRR4029377,1009849
SRR28062084,2478892
SRR30905252,2521395
SRR8816712,3070925
SRR26949894,1971723
SRR23411705,2663510
ERR3587022,1120045
SRR958747,1003664
SRR30181055,1437700
SRR28023923,2960441
ERR7625357,4984740
ERR599288,7808455
ERR2607531,2205489
ERR2597386,2324474
SRR12581682,8458590
SRR18572992,5568323
SRR14556369,2229680
SRR4929907,1204404
SRR13292347,1121551
SRR8369862,3335518
ERR12869859,1036187
ERR15093822,1383533
SRR18045758,5824528
SRR5930705,1204031
SRR3987495,2077556
ERR11029169,1058835
SRR22049969,1819209
SRR25936280,1311580
ERR14979791,1179211
ERR1712222,1227552
ERR1711899,1903043
SRR26268941,13795739
ERR13737669,1421821
ERR6590415,1564613
SRR28810153,2123560
ERR7337718,2961205
ERR3572874,2094951
SRR11637895,2313394
SRR29820778,2247750
ERR2431948,10328000
ERR14980277,2323737
SRR10693309,1618690
ERR10921669,2074270
SRR27957811,1585382
SRR20029217,1121090
SRR26786811,2122415
SRR6441345,3474331
SRR25667255,1437108
ERR12161478,2872354
ERR6004442,4449466
SRR30304458,3869038
ERR6175484,1491474
SRR23890174,2927800
SRR15127866,1198274
SRR7549188,1357528
ERR2597389,2054021
SRR20028108,1300995
SRR27472048,1079477
SRR1313261,1003641
SRR29134483,2308551
SRR16995657,10555525
ERR1811640,1279220
SRR13692262,4782258
SRR17459097,3665246
SRR16329027,16865188
SRR28250830,2967848
SRR28024003,3489979
ERR4096526,2179876
ERR12728006,7409354
ERR2027920,7178781
SRR15604588,1068550
SRR30002605,4145914
SRR12814730,1386582
SRR25451372,3424482
ERR4140086,1344437
SRR15275518,1100038
SRR28402840,4582080
SRR11288141,2188388
SRR28895630,1489217
SRR26718035,4604650
SRR29134469,1418300
ERR1700712,11568549
SRR16133582,1912907
SRR28454794,1185256
SRR19632997,1458039
SRR11880831,1194117
ERR2206751,3472193
SRR24307815,1953657
SRR28060920,4593776
ERR868374,3293774
SRR20825015,10469673
SRR15508301,1274310
SRR20218967,3579979
SRR33136129,2575609
SRR15677214,4119242
SRR28042213,3033607
ERR3522031,1415232
SRR8436582,5062962
SRR21069222,3059077
SRR23825971,1159148
SRR15962775,1084374
SRR30325017,2956268
SRR28060552,1323415
ERR1135257,1122264
SRR28061367,2705685
SRR25919699,1334372
ERR14791473,1537220
ERR15342808,1741818
SRR12542656,1842016
SRR32678464,4014569
ERR10394873,1211596
SRR26668422,3490810
SRR453184,1214326
SRR3987489,2206775
ERR4368246,1704612
SRR15371991,1897393
ERR11860632,1957075
SRR32619021,1898705
SRR25008571,3661566
ERR2597363,3679182
ERR3212004,1191826
SRR13162657,6206528
ERR9606718,1725220
SRR16767768,2965348
ERR10163718,1162327
SRR14492168,3553947
SRR7051677,2876335
ERR2532468,1024217
ERR10420126,3026324
SRR25047018,1126191
SRR14399417,2719015
ERR14217501,1133552
SRR14369228,2247890
SRR21663112,1282844
SRR8925787,4718271
SRR13170450,1207873
SRR26717881,2091629
ERR3211815,1301032
SRR5919090,2764518
SRR23946038,4078881
SRR12284398,4182420
SRR14161071,4652996
SRR17827561,3348936
SRR21311687,1178283
ERR206157,1297727
SRR17684629,1919330
SRR25158334,11274564
SRR30567494,2334843
SRR5916354,4190605
ERR4998648,8126786
SRR32618780,1302417
SRR12298826,1073607
SRR29183899,2388419
SRR23135032,7495650
ERR1787543,1472444
SRR25655930,1927684
SRR26386621,4402877
ERR11260124,2293285
ERR10921723,3857683
SRR28062589,4981491
SRR33230248,2122280
SRR4425718,1883098
SRR31071674,2900776
SRR13588923,10238940
SRR7186508,6437303
SRR21720965,2283661
SRR20011460,6795883
SRR11515019,1838180
ERR6160320,1840671
SRR14556530,1768104
ERR11489092,3511438
SRR29090703,2211460
SRR29820777,2234095
SRR13566430,3490305
SRR21822487,1176335
SRR11569304,3633330
SRR25608086,1145994
SRR7500503,1289612
SRR7515934,3128754
SRR6277169,1218597
SRR9004761,10903063
ERR15003748,1503503
SRR32406697,1723391
ERR11029055,1069684
SRR31126226,1970388
